,num_of_weeks,lyric,name,artist,year
730,1,Not Found,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")","Whitney Houston ",1995
731,5,Sorry I never told you All I wanted to say Now it s too late to hold you Cause you ve flown away So far away Never had I imagined Living without your smile Feeling and knowing you hear me It keeps me alive Alive Chorus And I know you re shining down on me from heaven Like so many friends we lost along the way And I know eventually we ll be together One sweet day Darling I never showed you Assumed you d always be there Took your presence for granted But I always cared And I miss the love we shared Chorus Although the sun will never shine the same I ll always look to a brighter day Lord I know when I lay me down to sleep You will always listen as I pray Chorus x2 Sorry I never told you Together All I wanted to say,One Sweet Day,"                              Mariah Carey & Boyz II Men                          ",1995
732,11,Sorry I never told you All I wanted to say Now it s too late to hold you Cause you ve flown away So far away Never had I imagined Living without your smile Feeling and knowing you hear me It keeps me alive Alive Chorus And I know you re shining down on me from heaven Like so many friends we lost along the way And I know eventually we ll be together One sweet day Darling I never showed you Assumed you d always be there Took your presence for granted But I always cared And I miss the love we shared Chorus Although the sun will never shine the same I ll always look to a brighter day Lord I know when I lay me down to sleep You will always listen as I pray Chorus x2 Sorry I never told you Together All I wanted to say,One Sweet Day,"                              Mariah Carey & Boyz II Men                          ",1996
733,6,Not Found,"Because You Loved Me (From ""Up Close & Personal"")","Celine Dion ",1996
734,2,We were as one babe For a moment in time And it seemed everlasting That you would always be mine Now you wanna be free So I m letting you fly Cause I know in my heart babe Our love will never die You ll always be a part of me I m part of you indefinitely Boy don t you know you can t escape me Ooh darling cause you ll always be my baby And we ll linger on Time can t erase a feeling this strong No way you re never gonna shake me Ooh darling cause you ll always be my baby I ain t gonna cry no And I won t beg you to stay If you re determined to leave boy I will not stand in your way But inevitably You ll be back again Cause you know in your heart babe Our love will never end You ll always be a part of me I m part of you indefinitely Boy don t you know you can t escape me Ooh darling cause you ll always be my baby And we ll linger on Time can t erase a feeling this strong No way you re never gonna shake me Ooh darling cause you ll always be my baby I know that you ll be back boy When your days and your nights get a little bit colder I know that you ll be right back baby Oh baby believe me it s only a matter of time You ll always be a part of me I m part of you indefinitely Boy don t you know you can t escape me Ooh darling cause you ll always be my baby And we ll linger on Time can t erase a feeling this strong No way you re never gonna shake me Ooh darling cause you ll always be my baby,Always Be My Baby,"Mariah Carey ",1996
735,8,Not Found,Tha Crossroads,"Bone Thugs-N-Harmony ",1996
736,2,Not Found,How Do U Want It/California Love,"2Pac Featuring KC And JoJo ",1996
737,1,Not Found,You're Makin' Me High/Let It Flow,"Toni Braxton ",1996
738,14,Not Found,Macarena (Bayside Boys Mix),"Los Del Rio ",1996
739,4,You know what I like the playettes No diggity no doubt Play on playette play on playette Yo Dre drop the verse It s going down fade to Blackstreet The homies got RB collab creations Bump like acne no doubt I put it down never slouch As long as my credit can vouch A dog couldn t catch me ass out Tell me who can stop when Dre makin moves Attracting honeys like a magnet Giving em eargasms with my mellow accent Still moving this flavor With the homies Blackstreet and Teddy The original rump shakers Shorty get down good Lord Baby got em up open all over town Strictly biz she don t play around Cover much ground got game by the pound Getting paid is her forte Each and every day true player way I can t get her out of my mind I think about the girl all the time East side to the west side Pushin phat rides it s no surprise She got tricks in the stash Stacking up the cash Fast when it comes to the gas By no means average She s on when she s got to have it Baby you re a perfect ten I wanna get in Can I get down so I can win Chorus x4 I like the way you work it No diggity I got to bag it up bag it up She s got class and style Street knowledge by the pound Baby never act wild very low key on the profile Catchin feelings is a no Let me tell you how it goes Curve s the words spins the verbs Lovers it curves so freak what you heard Rollin with the phatness You don t even know what the half is You gotta pay to play Just for shorty bang bang to look your way I like the way you work it Trumped tight all day every day You re blowing my mind maybe in time Baby I can get you in my ride Chorus x4 Cause that s my peeps and we row G Flyin first class from New York City to Blackstreet What you know about me not a motherfuckin thing Cartier wooded frames sported by my shortie As for me icy gleaming pinky diamond ring We be s the baddest clique up on the scene Ain t you getting bored with these fake ass broads I shows and proves no doubt I be taking you so Please excuse if I come across rude That s just me and that s how the playettes got to be Stay kickin game with a capital G Axe the peoples on my block I m as real as can be Word is bond faking jacks never been my flavor So Teddy pass the word to your nigga Chauncey I be sitting in car let s say around 3 30 Queen Pen and Blackstreet it s no diggity Chorus x4,No Diggity,"BLACKstreet (Featuring Dr. Dre) ",1996
740,4,Lala lala la lala Hah aaa aaa Aah aaa aaa okay Don t leave me in all this pain Don t leave me out in the rain Come back and bring back my smile Come and take these tears away I need your arms to hold me now The nights are so unkind Bring back those nights when I held you beside me Unbreak my heart Say you ll love me again Undo this hurt you caused When you walked out the door And walked outta my life Uncry these tears I cried so many nights Unbreak my heart My heart Take back that sad word goodbye Bring back the joy to my life Don t leave me here with these tears Come and kiss this pain away I can t forget the day you left Time is so unkind And life is so cruel without you here beside me Unbreak my heart Say you ll love me again Undo this hurt you caused When you walked out the door And walked outta my life Uncry these tears I cried so many nights Unbreak my heart My heart Heart Umm Don t leave me in all this pain Don t leave me out in the rain Bring back the nights when I held you beside me Oh Unbreak my heart Say you ll love me again Undo this hurt you caused When you walked out the door And walked outta my life Uncry these tears I cried so many many nights Oh unbreak my Unbreak my heart oh baby Come back and say you love me Unbreak my heart Sweet darlin Without you I just can t go on Say that you love Say that you love Tell me you love Unbreak my heart Can t go on Woh Say that you love Say that you love Tell me you love Unbreak my Say that you love Say that you love Tell me you love Unbreak my Say that you love Say that you love Tell me,Un-Break My Heart,"Toni Braxton ",1996
741,7,Lala lala la lala Hah aaa aaa Aah aaa aaa okay Don t leave me in all this pain Don t leave me out in the rain Come back and bring back my smile Come and take these tears away I need your arms to hold me now The nights are so unkind Bring back those nights when I held you beside me Unbreak my heart Say you ll love me again Undo this hurt you caused When you walked out the door And walked outta my life Uncry these tears I cried so many nights Unbreak my heart My heart Take back that sad word goodbye Bring back the joy to my life Don t leave me here with these tears Come and kiss this pain away I can t forget the day you left Time is so unkind And life is so cruel without you here beside me Unbreak my heart Say you ll love me again Undo this hurt you caused When you walked out the door And walked outta my life Uncry these tears I cried so many nights Unbreak my heart My heart Heart Umm Don t leave me in all this pain Don t leave me out in the rain Bring back the nights when I held you beside me Oh Unbreak my heart Say you ll love me again Undo this hurt you caused When you walked out the door And walked outta my life Uncry these tears I cried so many many nights Oh unbreak my Unbreak my heart oh baby Come back and say you love me Unbreak my heart Sweet darlin Without you I just can t go on Say that you love Say that you love Tell me you love Unbreak my heart Can t go on Woh Say that you love Say that you love Tell me you love Unbreak my Say that you love Say that you love Tell me you love Unbreak my Say that you love Say that you love Tell me,Un-Break My Heart,"Toni Braxton ",1997
742,4,Ha ha ha ha ha Yo I ll tell you what I want what I really really want So tell me what you want what you really really want I ll tell you what I want what I really really want So tell me what you want what you really really want I wanna ha I wanna ha I wanna ha I wanna ha I wanna really really really wanna zigazig ah If you want my future forget my past If you wanna get with me better make it fast Now don t go wasting my precious time Get your act together we could be just fine I ll tell you what I want what I really really want So tell me what you want what you really really want I wanna ha I wanna ha I wanna ha I wanna ha I wanna really really really wanna zigazig ah If you wanna be my lover you gotta get with my friends Gotta get with my friends Make it last forever friendship never ends If you wanna be my lover you have got to give Taking is too easy but that s the way it is Oh what do you think about that Now you know how I feel Say you can handle my love are you for real Are you for real I won t be hasty I ll give you a try If you really bug me then I ll say goodbye Yo I ll tell you what I want what I really really want So tell me what you want what you really really want I wanna ha I wanna ha I wanna ha I wanna ha I wanna really really really wanna zigazig ah If you wanna be my lover you gotta get with my friends Gotta get with my friends Make it last forever friendship never ends If you wanna be my lover you have got to give You ve got to give Taking is too easy but that s the way it is So here s a story from A to Z You wanna get with me you gotta listen carefully We got Em in the place who likes it in your face You got G like MC who likes it on a Easy V doesn t come for free she s a real lady And as for me ha you ll see Slam your body down and wind it all around Slam your body down and wind it all around If you wanna be my lover you gotta get with my friends Gotta get with my friends Make it last forever friendship never ends If you wanna be my lover you have got to give You ve got to give Taking is too easy but that s the way it is If you wanna be my lover You gotta you gotta you gotta you gotta you gotta Slam slam slam slam make it last forever Slam your body down and wind it all around Slam your body down and wind it all around Ha ha ha ha ha Slam your body down and wind it all around Slam your body down and zigazig ah If you wanna be my lover,Wannabe,"Spice Girls ",1997
743,6,Bad Boy We ain t gon stop Now with Sean on the hot track melt like it s hot wax Put it out all the stores bet you could shop that that s right Leave a nigga with a hot hat fronting like Bad Boy ain t got tracks nigga stop that There s no guy slicker than this young fly nigga Nickel nine nigga floss you die quicker uh huh This fed time outta town pie flipper Turn Cristal into a Crooked I sipper Everybody want to be fast see the cash Fuck around they weak staff get a heat rash Anything in Bad Boy way we smash we smash Hundred G stash push a bulletproof E Class hehe I m through with bein a player and a baller Just want me one bad bitch so I can spoil her Mase want to be the one you respect even when you re vexed Rock Versace silks over spilled brunette Got green never seen so you suck my jewels Clutch my uz anything I touch I bruise Puff make his own laws nigga fuck your rules that s right Goodfellas you know you can t touch us dudes Don t push us cause we re close to the edge We re tryin not to lose our heads a hah hah hah hah Broken glass everywhere If it ain t about the money Puff I just don t care that s right I m that Goodfella fly guy sometimes wiseguys Spend time in H A W A I I Mase can you please stop smoking lah lah Puff why try I m a thug I ma die high I be out in Jersey puffin Hershey Brothers ain t worthy to rock my derby Though I m never drugged I m the venom in the club G Though I know the thug be wantin to slug me uh huh Could it be I move as smoove as Bugsy yeah Or be at the bar with too much bubbly c mon Yo I think it must be the girls want to lust me Or is it simply the girls just love me Brothers wanna rock the Rolls rock my clothes Rock my ice pull out glocks stop my life uh I m like Damn how these niggas got they trust Used to be my man how you gonna plot on my wife Do you think you snake me cause they hate me Or he got his Ph D Player Hater s Degree Ahaha Can t nobody take my pride can t nobody hold me down oh no I got to keep on movin Quit that uh huh You a big cat yeah Where your chicks at where Where your whips at where dey at Wherever you get stacks I ma fix that Everything that s big dreams I did that that s right Don t knock me cause you re boring I m record sales soaring straight touring Simply a lot of men be wantin to hear me Cause their words just don t offend me uh uh uh uh We spend cheese in the West Indies Then come home to plenty cream Bentleys hehe You name it I could claim it Young black and famous with money hangin out the anus And when you need a hit who you go and get who Bet against us Not a sure bet We make hits that ll rearrange your whole set that s right And got a Benz that I ain t even drove yet Don t push us cause we re close to the edge We re tryin not to lose our heads a hah hah hah hah I get the feeling sometimes that make me wonder Why you want to take us under Why you want to take us under I get the feeling sometimes that make me wonder Why you want to take us under Why you want to take us under Can t nobody take my pride can t nobody hold me down oh no I got to keep on movin Can t nobody take my pride can t nobody hold me down oh no I got to keep on movin Can t nobody take my pride can t nobody hold me down oh no I got to keep on movin Can t nobody take my pride can t nobody hold me down oh no I got to keep on movin,Can't Nobody Hold Me Down,"                              Puff Daddy (Featuring Mase)                          ",1997
744,3,Uh uh uh c mon Hah sicka than your average Poppa twist cabbage off instinct niggas don t think shit stink pink gators my Detroit players Timbs for my hooligans in Brooklyn Dead right if the head right Biggie there ery night Poppa been smooth since days of Underroos Never lose never choose to bruise crews who do something to us talk go through us Girls walk to us wanna do us screw us Who us Yeah Poppa and Puff hehehe Close like Starsky and Hutch stick the clutch Dare I squeeze three at your cherry M 3 Take that take that take that haha Bang every MC easily busily Recently niggas frontin ain t sayin nuttin nope so I just speak my piece c mon keep my piece Cubans with the Jesus piece thank you God with my peeps Packin askin who want it you got it nigga flaunt it That Brooklyn bullshit we on it Biggie Biggie Biggie can t you see Sometimes your words just hypnotize me And I just love your flashy ways Guess that s why they broke and you re so paid uh Biggie Biggie Biggie uh huh can t you see uh Sometimes your words just hypnotize me hypnotize And I just love your flashy ways uh huh Guess that s why they broke and you re so paid hah I put hoes in NY onto DKNY uh huh Miami D C prefer Versace that s right All Philly hoes dough and Moschino c mon Every cutie wit a booty bought a Coogi hah Now who s the real dookie meanin who s really the shit Them niggas ride dicks Frank White push the sticks on the Lexus LX four and a half Bulletproof glass tints if I want some ass Gon blast squeeze first ask questions last That s how most of these so called gangsters pass At last a nigga rappin bout blunts and broads Tits and bras menage a tois sex in expensive cars I still leave you on the pavement Condo paid for no car payment At my arraignment note for the plantiff Your daughter s tied up in a Brooklyn basement shhh Face it not guilty that s how I stay filthy not guilty Richer than Richie till you niggas come and get me Biggie Biggie Biggie can t you see Sometimes your words just hypnotize me And I just love your flashy ways Guess that s why they broke and you re so paid uh Biggie Biggie Biggie uh huh can t you see huh Sometimes your words just hypnotize me hypnotize And I just love your flashy ways uh huh Guess that s why they broke and you re so paid uh I can fill ya wit real millionaire shit I can fill ya Escargot my car go one sixty swiftly Wreck it buy a new one Your crew run run run your crew run run I know you sick of this name brand nigga wit flows girls say he s sweet like licorice So get with this nigga it s easy Girlfriend here s a pen call me round ten Come through have sex on rugs that s Persian that s right Come up to your job hit you while you workin uh for certain Poppa freakin not speakin Leave that ass leakin like rapper demo Tell them hoe take they clothes off slowly Hit em wit the force like Obe dick black like Toby Obe Toby Watch me roam like Gobe lucky they don t owe me Where the safe show me homey say what homey Biggie Biggie Biggie can t you see Sometimes your words just hypnotize me And I just love your flashy ways Guess that s why they broke and you re so paid uh Biggie Biggie Biggie uh huh can t you see uh Sometimes your words just hypnotize me hypnotize And I just love your flashy ways uh huh Guess that s why they broke and you re so paid uh Biggie Biggie Biggie can t you see Sometimes your words just hypnotize me And I just love your flashy ways Guess that s why they broke and you re so paid uh Biggie Biggie Biggie uh huh can t you see uh Sometimes your words just hypnotize me hip to And I just love your flashy ways uh huh Guess that s why they broke and you re so paid uh Biggie Biggie Biggie can t you see Sometimes your words just hypnotize me And I just love your flashy ways Guess that s why they broke and you re so paid,Hypnotize,"The Notorious B.I.G. ",1997
745,3,Oh oh oh oh oh Yeah You have so many relationships in this life Only one or two will last You go through all the pain and strife Then you turn your back and they re gone so fast Oh yeah And they re gone so fast yeah Oh So hold on the ones who really care In the end they ll be the only ones there And when you get old and start losing your hair Can you tell me who will still care Can you tell me who will still care Oh care Chorus Mmmbop ba duba dop Ba du bop ba duba dop Ba du bop ba duba dop Ba du yeah Mmmbop ba duba dop Ba du bop ba du dop Ba du bop ba du dop Ba du yeah Said oh yeah In an mmmbop they re gone Yeah yeah Plant a seed plant a flower plant a rose You can plant any one of those Keep planting to find out which one grows It s a secret no one knows It s a secret no one knows Oh no one knows Chorus In an mmmbop they re gone In an mmmbop they re not there In an mmmbop they re gone In an mmmbop they re not there Until you lose your hair Oh But you don t care yeah Chorus Can you tell me oh No you can t cause you don t know Can you tell me oh yeah You say you can but you don t know Can you tell me oh Which flower s going to grow No you can t cause you don t know Can you tell me If it s going to be a daisy or a rose You say you can but you don t know Can you tell me oh Which flower s going to grow No you can t cause you don t know Can you tell me You say you can but you don t know You say you can but you don t know You don t know You don t know oh Mmmbop duba Du bop du Yeah yeah Mmmbop duba Du bop du Oh yeah Chorus x2 Can u tell me oh No you can t cause you don t know Can you tell me You say you can but you don t know Say you can but you don t know,Mmmbop,"Hanson ",1997
746,2,Seems like yesterday we used to rock the show I lace the track you lock the flow So far from hanging on the block of dough Notorious they got to know that Life ain t always what it seem to be Words can t express what you mean to me And though you re gone We still a team Through your family I ll fulfill your dreams In the future can t wait to see If you ll open up the gates for me Reminisce sometime The night they took my friend Try to black it out but it plays again When it s weird feelin it s really hard to conceal Can t imagine all the pain I feel Give everything to hear half your breath I know you still livin your life after death Every step I take Every move I make Every single day Every time I pray I ll be missing you Thinking of the day When you went away What a life to take What a bond to break I ll be missing you It s kind of hard wit you not around Know you in heaven smilin down Watchin us while we pray for you Everyday we pray for you Till the day we meet again In my heart is where I ll keep you friend Memories give me the strength I need to proceed Strength I need to believe My thoughts big I just can t define Wish I could turn back the hands of time Bust in the 6 Shop for new clothes and kicks You and me taking flicks Making hits stages they receive you on Still can t believe you re gone Give anything to hear half your breath I know you still livin your life after death Every step I take Every move I make Every single day Every time I pray I ll be missing you Thinking of the day When you went away What a life to take What a bond to break I ll be missing you Somebody tell me why On that morning When this life is over I know I ll see your face Every night I pray Every step I take Every move I make Every single day Every night I pray Every step I take Every move I make Every single day Every time I pray Every step I take Every move I make Every single day Every night I pray Every step I take Every move I make Every single day Every time I pray Every step I take Every move I make Every single day Every time I pray I ll be missing you Thinking of the day When you went away What a life to take What a bond to break I ll be missing you Every step I take Every move I make Every single day Every time I pray I ll be missing you Thinking of the day When you went away What a life to take What a bond to break I ll be missing you Every step I take Every move I make Every single day Every time I pray I ll be missing you Thinking of the day When you went away,I'll Be Missing You,"                              Puff Daddy & Faith Evans Featuring 112                          ",1997
747,7,Seems like yesterday we used to rock the show I lace the track you lock the flow So far from hanging on the block of dough Notorious they got to know that Life ain t always what it seem to be Words can t express what you mean to me And though you re gone We still a team Through your family I ll fulfill your dreams In the future can t wait to see If you ll open up the gates for me Reminisce sometime The night they took my friend Try to black it out but it plays again When it s weird feelin it s really hard to conceal Can t imagine all the pain I feel Give everything to hear half your breath I know you still livin your life after death Every step I take Every move I make Every single day Every time I pray I ll be missing you Thinking of the day When you went away What a life to take What a bond to break I ll be missing you It s kind of hard wit you not around Know you in heaven smilin down Watchin us while we pray for you Everyday we pray for you Till the day we meet again In my heart is where I ll keep you friend Memories give me the strength I need to proceed Strength I need to believe My thoughts big I just can t define Wish I could turn back the hands of time Bust in the 6 Shop for new clothes and kicks You and me taking flicks Making hits stages they receive you on Still can t believe you re gone Give anything to hear half your breath I know you still livin your life after death Every step I take Every move I make Every single day Every time I pray I ll be missing you Thinking of the day When you went away What a life to take What a bond to break I ll be missing you Somebody tell me why On that morning When this life is over I know I ll see your face Every night I pray Every step I take Every move I make Every single day Every night I pray Every step I take Every move I make Every single day Every time I pray Every step I take Every move I make Every single day Every night I pray Every step I take Every move I make Every single day Every time I pray Every step I take Every move I make Every single day Every time I pray I ll be missing you Thinking of the day When you went away What a life to take What a bond to break I ll be missing you Every step I take Every move I make Every single day Every time I pray I ll be missing you Thinking of the day When you went away What a life to take What a bond to break I ll be missing you Every step I take Every move I make Every single day Every time I pray I ll be missing you Thinking of the day When you went away,I ll Be Missing You,"Puff Daddy  ",1997
748,2,Seems like yesterday we used to rock the show I lace the track you lock the flow So far from hanging on the block of dough Notorious they got to know that Life ain t always what it seem to be Words can t express what you mean to me And though you re gone We still a team Through your family I ll fulfill your dreams In the future can t wait to see If you ll open up the gates for me Reminisce sometime The night they took my friend Try to black it out but it plays again When it s weird feelin it s really hard to conceal Can t imagine all the pain I feel Give everything to hear half your breath I know you still livin your life after death Every step I take Every move I make Every single day Every time I pray I ll be missing you Thinking of the day When you went away What a life to take What a bond to break I ll be missing you It s kind of hard wit you not around Know you in heaven smilin down Watchin us while we pray for you Everyday we pray for you Till the day we meet again In my heart is where I ll keep you friend Memories give me the strength I need to proceed Strength I need to believe My thoughts big I just can t define Wish I could turn back the hands of time Bust in the 6 Shop for new clothes and kicks You and me taking flicks Making hits stages they receive you on Still can t believe you re gone Give anything to hear half your breath I know you still livin your life after death Every step I take Every move I make Every single day Every time I pray I ll be missing you Thinking of the day When you went away What a life to take What a bond to break I ll be missing you Somebody tell me why On that morning When this life is over I know I ll see your face Every night I pray Every step I take Every move I make Every single day Every night I pray Every step I take Every move I make Every single day Every time I pray Every step I take Every move I make Every single day Every night I pray Every step I take Every move I make Every single day Every time I pray Every step I take Every move I make Every single day Every time I pray I ll be missing you Thinking of the day When you went away What a life to take What a bond to break I ll be missing you Every step I take Every move I make Every single day Every time I pray I ll be missing you Thinking of the day When you went away What a life to take What a bond to break I ll be missing you Every step I take Every move I make Every single day Every time I pray I ll be missing you Thinking of the day When you went away,I'll Be Missing You,"                              Puff Daddy & Faith Evans Featuring 112                          ",1997
749,2,Now who s hot who not Tell me who rock Who sell out in the stores You tell me who flopped Who copped the blue drop Who s jewels got rocks Who s mostly Dolce down to the tube sock The same old pimp Mase you know ain t nothing change but my limp Can t stop till I see my name on a blimp Guarantee a million sales pulling all the love You don t believe in Harlem World nigga double up We don t play around it s a bet lay it down Nigga didn t know me 91 bet they know me now I m the young harlem nigga with the goldie sound Can t no Ph D niggas hold me down Cooter Schooled me to the game now I know my duty Stay humble stay low blow like Hootie True pimp niggas spend no dough on the booty I don t know what And then ya yell there go Mase there go your cutie They want from me it s like the more money we come across The more problems we see I don t know what They want from me it s like the more money we come across The more problems we see Yeah yeah haha from the D to the A to the D D Y Know you d rather see me die than to see me fly I call all the shots Rip all the spots rock all the rocks Cop all the drops I know you thinkin now s When all the ballin stops Nigga never home got a chrome one and a yacht Ten years from now we ll still be on top Yo I thought I told you that we won t stop Now whatcha gonna do when it s cool Bag a money much longer than yours And a team much stronger than yours Violate me this ll be your day we don t play Mess around be D O A be on your way Cause it ain t enough time here ain t enough lime here For you to shine here deal with many women but treat dimes fair and I m Bigger than the city lights down in Times Square Yeah yeah yeah I don t know what They want from me it s like the more money we come across The more problems we see I don t know what They want from me it s like the more money we come across The more problems we see Uh uh B I G P O P P A no info for the DEA Federal agents mad cause I m flagrant Tap my cell and the phone in the basement My team supreme stay clean Triple beam lyrical dream I be that Cat you see at all events bent Gats in holsters girls on shoulders Playboy I told ya bein mice to me Bruise too much I lose too much Step on stage the girls boo too much I guess it s cause you run with lame dudes too much Me lose my touch never that If I did ain t no problem to get the gat Where the true players at Throw your rollies in the sky Wave em side to side and keep their hands high While I give your girl the eye player please Lyrically niggas see B I G be flossin jig on the cover of Fortune Five double oh here s my phone number your name I got to know I got to go Got the flow down phizat platinum plus Like thizat dangerous on trizack leave your ass fizzat I don t know what They want from me it s like the more money we come across The more problems we see I don t know what They want from me it s like the more money we come across The more problems we see I don t know what They want from me it s like the more money we come across The more problems we see What s goin on somebody tell me What s goin on I don t know what They want from me it s like the more money we come across The more problems we see I don t know what They want from me it s like the more money we come across The more problems we see I don t know what They want from me it s like the more money we come across The more problems we see,Mo Money Mo Problems,"The Notorious B.I.G. Featuring Puff Daddy & Mase ",1997
750,3,Oh now you can have me When you want me You simply ask me to be there And you re the only one Who makes me come running Cause what you got Is far beyond compare And it s just like honey When your love comes over me Oh baby I ve got a dependency Always strung out For another taste of your honey It s like honey When it washes over me You know sugar never ever was so sweet And I m dying for ya Crying for ya I adore ya One hit of your love affected me And I m strung out on you darling Don t you see Every night and day I can hardly wait For another taste of honey Honey I can t describe How good it feels inside Honey I can t describe How good it feels inside Yeah oh Oh I can t be elusive with you honey Cause it s blatant that I m feeling you And it s too hard for me to leave abruptly You re the only thing I want to do And it s just like honey When your love comes over me Oh baby I ve got a dependency Always strung out For another taste of your honey It s like honey When it washes over me You know sugar never ever was so sweet And I m dying for ya Crying for ya I adore ya One hit of your love addected me And I m strung out on you darling Don t you see Every night and day I can hardly wait For another taste of honey Honey I can t describe How good it feels inside Honey I can t describe How good it feels inside Breakdown Oooh woah Every little thing you do Ooh woah honey got me hooked on you Honey it s like And it s just like honey When your love comes over me Oh baby I ve got a dependancy Always strung out For another taste of your honey It s like honey When it washes over me You know sugar never ever was so sweet And I m dying for ya Crying for ya I adore ya One hit of your love addected me And I m strung out on you darling Don t you see Every night and day I can hardly wait For another taste of honey Honey I can t describe How good it feels inside Honey I can t describe How good it feels inside,Honey,"Mariah Carey ",1997
751,1,I long for the warmth of days gone by When you were mine But now those days are memories in time Life s empty without you by my side My heart belongs to you No matter what I try When I get the courage up to love somebody new It always falls apart cause they just can t compare to you Your love won t release me I m bound under ball and chain Reminiscing our love as I watch four season s change Chorus In comes the winter breeze that chills the air and drifts the snow And I imagine kissing you under the mistletoe When springtime makes its way here Lilac blooms reminds me of the scent of your perfume When summer burns with heat I always get the hots for you Go skinny dipping in the ocean where we used to do When autumn sheds the leaves the trees are bare When you re not here it doesn t feel the same Remember the nights when we closed our eyes And vowed that you and I would be in love for all time Anytime I think about these things I shared with you I break down and cry cause I get so emotional Until you release me I m bound under ball and chain Reminiscing our love as I watch four season s change Chorus This loneliness has crushed my heart Please let me love again Cause I need your love to comfort me and ease my pain Or four seasons will bring the loneliness again Chorus Remember the warmth of days gone by,4 Seasons Of Loneliness,"Boyz II Men ",1997
752,12,Not Found,Candle In The Wind 1997/Something About The Way You Look Tonight,"Elton John ",1997
753,2,Not Found,Candle In The Wind 1997/Something About The Way You Look Tonight,"Elton John ",1998
754,2,I ll be your dream I ll be your wish I ll be your fantasy I ll be your hope I ll be your love be everything that you need I love you more with every breath truly madly deeply do I will be strong I will be faithful cause I m counting on a new beginning A reason for living A deeper meaning I want to stand with you on a mountain I want to bathe with you in the sea I want to lay like this forever Until the sky falls down on me And when the stars are shining brightly in the velvet sky I ll make a wish send it to heaven then make you want to cry The tears of joy for all the pleasure and the certainty That we re surrounded by the comfort and protection of The highest power in lonely hours the tears devour you I want to stand with you on a mountain I want to bathe with you in the sea I want to lay like this forever Until the sky falls down on me Oh can you see it baby You don t have to close your eyes Cause it s standing right before you All that you need will surely come I ll be your dream I ll be your wish I ll be your fantasy I ll be your hope I ll be your love be everything that you need I ll love you more with every breath truly madly deeply do I want to stand with you on a mountain I want to bathe with you in the sea I want to lay like this forever Until the sky falls down on me I want to stand with you on a mountain I want to bathe with you in the sea I want to live like this forever Until the sky falls down on me,Truly Madly Deeply,"Savage Garden ",1998
755,2,Not Found,Together Again,"Janet ",1998
756,2,Ah what cha doing You know I m coming over right now baby tell what you wanna do with me Now you got it hot for me already baby Okay I ll be there in about uh give me ten minutes Be ready Ah Wear that little thing I like now baby tell what you wanna do with me It s seven o clock On the dot I m in my drop top Cruisin the streets oh yeah I gotta real pretty pretty little thing that s waiting for me I pull up Anticipating good love Don t keep me waiting I got plans to put my hands in places I never seen girl you know what I mean Let me take you to a place nice and quiet There ain t no one there to interrupt Ain t gotta rush I just wanna take it nice and slow Now baby tell what you wanna do with me See I ve been waiting for this for so long We ll be makin love until the sun comes up Baby I just wanna take it nice and slow Now baby tell what you wanna do with me now here we are Drivin round town Contemplating where I m gonna lay you down Girl you got me sayin My my my I wish that I could pull over And get this thing started right now I wanna do something freaky to you baby I don t think they heard me I wanna do something freaky to you So call out my name They call me US HER RA YM OND Now baby tell me what you wanna do with me Gotta nigga feenin like Jodeci Every time that you roll with me holdin me Tryin to get control of me Nice and Slowly You know Never lettin go Never messin up the flow This is how the hook go Now tell me do you wanna get freaky Cause I ll freak you right I will I ll freak you right i will I ll freak you like no one ha s ever made you feel I ll freak you right I will I freak you right I will I ll freak ya freak ya like no one has ever made you feel yeah now baby tell what you wanna do with me,Nice & Slow,"Usher ",1998
757,2,Every night in my dreams I see you I feel you That is how I know you go on Far across the distance And spaces between us You have come to show you go on Near far wherever you are I believe that the heart does go on Once more you open the door And you re here in my heart And my heart will go on and on Love can touch us one time And last for a lifetime And never let go till we re gone Love was when I loved you One true time I hold to In my life we ll always go on Near far wherever you are I believe that the heart does go on Once more you open the door And you re here in my heart And my heart will go on and on You re here there s nothing I fear And I know that my heart will go on We ll stay forever this way You are safe in my heart And my heart will go on and on Oooooooooooh,My Heart Will Go On,"Celine Dion ",1998
