,num_of_weeks,lyric,name,artist,year
22,1,The eastern world it tis explodin Violence flarin bullets loadin You re old enough to kill but not for votin You don t believe in war but what s that gun you re totin And even the Jordan river has bodies floatin But you tell me over and over and over again my friend Ah you don t believe we re on the eve of destruction Don t you understand what I m trying to say And Can t you feel the fear that I m feeling today If the button is pushed there s no running away There ll be no one to save with the world in a grave Take a look around you boy it s bound to scare you boy But you tell me over and over and over again my friend Ah you don t believe we re on the eve of destruction Yeah my blood s so mad feels like coagulatin I m sittin here just contemplatin I can t twist the truth it knows no regulation Handful of Senators don t pass legislation And marches alone can t bring integration When human respect is disintegratin This whole crazy world is just too frustratin And you tell me over and over and over again my friend Ah you don t believe we re on the eve of destruction Think of all the hate there is in Red China Then take a look around to Selma Alabama Ah you may leave here for eight days in space But when your return it s the same old place The poundin of the drums the pride and disgrace You can bury your dead but don t leave a trace Hate your next door neighbor but don t forget to say grace And you tell me over and over and over and over again my friend Ah you don t believe we re on the eve of destruction,Eve Of Destruction,"Barry McGuire ",1965
23,1,Not Found,Hang On Sloopy,"The McCoys ",1965
24,4,Yesterday all my troubles seemed so far away Now it looks as though they re here to stay Oh I believe in yesterday Suddenly I m not half the man I used to be There s a shadow hanging over me Oh yesterday came suddenly Why she had to go I don t know she wouldn t say I said something wrong now I long for yesterday Yesterday love was such an easy game to play Now I need a place to hide away Oh I believe in yesterday Why she had to go I don t know she wouldn t say I said something wrong now I long for yesterday Yesterday love was such an easy game to play Now I need a place to hide away Oh I believe in yesterday Mm mm mm mm mm mm mm,Yesterday,"The Beatles ",1965
25,2,I live in an apartment on the ninety ninth floor of my block And I sit at home looking out the window Imagining the world has stopped Then in flies a guy who s all dressed up like a Union Jack And says I ve won five pounds if I have his kind of detergent pack Chorus I says Hey You Get off of my cloud Hey You Get off of my cloud Hey You Get off of my cloud Don t hang around cause two s a crowd On my cloud baby The telephone is ringing I say Hi it s me Who is there on the line A voice says Hi hello how are you Well I guess I m doin fine He says It s three a m there s too much noise Don t you people ever want to go to bed Just cause you feel so good Do you have to drive me out of my head Chorus I was sick and tired fed up with this And decided to take a drive downtown It was so very quiet and peaceful There was nobody not a soul around I laid myself out I was so tired And I started to dream In the morning the parking tickets were just like a flag stuck on my window screen Chorus Repeat x2,Get Off Of My Cloud,"The Rolling Stones ",1965
26,2,You ve given me a true love and every day I thank you love For a feeling that s so new So inviting so exciting Whenever you re near I hear a symphony A tender melody Pulling me closer Closer to your arms Then suddenly I hear a symphony Ooh your lips are touching mine A feeling so divine Till I leave the past behind I m lost in a world Made for you and me Whenever you re near I hear a symphony Play sweet and tenderly Every time your lips meet mine now baby Baby baby You bring much joy within Don t let this feeling end Let it go on and on and on Now baby baby Those tears that seem my eyes I cry not for myself But for those who never felt the joy we felt Whenever you re near I hear a symphony Each time you speak to me I hear a tender rap so dy of love now Baby baby As you stand holding me Whispering how much you care A thousand violins fill the air Now baby baby Don t let this moment end Keep standing close to me Ooh so close to me baby baby Baby baby I hear a symphony A tender melody,I Hear A Symphony,"The Supremes ",1965
27,3,Not Found,Turn! Turn! Turn! (To Everything There Is A Season),"The Byrds ",1965
28,1,Well I went to a dance just the other night Everybody there was there I said over and over and over again This dance is gonna be a drag I said over and over and over again This dance is gonna be a drag I said over and over and over again This dance is gonna be a drag All at once it happened The prettiest in the world I said a won t you come over and a talk to me And be my girl I said a won t you come over and a talk to me And be my girl I said a won t you come over and a talk to me And be my girl She said she was sorry And I was a little bit late She would a wait and a wait and a wait and a wait For her steady date She would a wait and a wait and a wait and a wait For her steady date She would a wait and a wait and a wait and a wait For her steady date,Over And Over,"The Dave Clark Five ",1965
29,1,Not Found,The Sound Of Silence,"Simon & Garfunkel ",1966
30,2,Try to see it my way Do I have to keep on talking till I can t go on While you see it your way Run the risk of knowing that our love may soon be gone We can work it out We can work it out Think of what you re saying You can get it wrong and still you think that it s alright Think of what I m saying We can work it out and get it straight or say good night We can work it out We can work it out Life is very short and there s no time For fussing and fighting my friend I have always thought that it s a crime So I will ask you once again Try to see it my way Only time will tell if I am right or I am wrong While you see it your way There s a chance that we may fall apart before too long We can work it out We can work it out Life is very short and there s no time For fussing and fighting my friend I have always thought that it s a crime So I will ask you once again Try to see it my way Only time will tell if I am right or I am wrong While you see it your way There s a chance that we may fall apart before too long We can work it out We can work it out,We Can Work It Out,"The Beatles ",1966
31,1,Not Found,The Sound Of Silence,"Simon & Garfunkel ",1966
32,1,Try to see it my way Do I have to keep on talking till I can t go on While you see it your way Run the risk of knowing that our love may soon be gone We can work it out We can work it out Think of what you re saying You can get it wrong and still you think that it s alright Think of what I m saying We can work it out and get it straight or say good night We can work it out We can work it out Life is very short and there s no time For fussing and fighting my friend I have always thought that it s a crime So I will ask you once again Try to see it my way Only time will tell if I am right or I am wrong While you see it your way There s a chance that we may fall apart before too long We can work it out We can work it out Life is very short and there s no time For fussing and fighting my friend I have always thought that it s a crime So I will ask you once again Try to see it my way Only time will tell if I am right or I am wrong While you see it your way There s a chance that we may fall apart before too long We can work it out We can work it out,We Can Work It Out,"The Beatles ",1966
33,2,My love is warmer than the warmest sunshine Softer than a sigh My love is deeper than the deepest ocean Wider than the sky My love is brighter than the brightest star That shines every night above And there is nothing in this world That can ever change my love Something happened to my heart the day that I met you Something that I never felt before You are always on my mind no matter what I do And everyday it seems that I want you more My love is warmer than the warmest sunshine Softer than a sigh My love is deeper than the deepest ocean Wider than the sky My love is brighter than the brightest star That shines every night above And there is nothing in this world That can ever change my love Once I thought that love was meant for anyone else but me Once I thought you d never come my way Now it only goes to show how wrong we all can be For now I have to tell you everyday My love is warmer than the warmest sunshine Softer than a sigh My love is deeper than the deepest ocean Wider than the sky My love is brighter than the brightest star That shines every night above And there is nothing in this world That can ever change my love My love is warmer than the warmest sunshine Softer than a sigh My love is deeper than the deepest ocean Wider than the sky My love is brighter than the brightest star That shines every night above And there is nothing in this world That can ever change my love,My Love,"Petula Clark ",1966
34,1,Listen to me baby you gotta understand You re old enough to know the makings of a man Listen to me baby it s hard to settle down Am I asking too much for you to stick around Every boy wants a girl He can trust to the very end Baby that s you Won t you wait but til then When I see lips beggin to be kissed stop I can t stop stop I can t stop myself Stop stop Lightning is striking again Lightning is striking again Nature s takin over my one track mind Believe it or not you re in my heart all the time All the girls are sayin that you ll end up a fool For the time being baby live by my rules When I settle down I want one baby on my mind Forgive and forget And I ll make up for all lost time If she s put together fine And she s readin my mind stop I can t stop stop I can t stop myself Stop stop Lightning is striking again Lightning is striking again And again and again and again Lightning is striking again Lightning is striking again There s a chapel in the pines Waiting for us around the bend Picture in your mind Love forever but til then If she gives me a sign That she wants to make time stop I can t stop stop I can t stop myself Stop stop Lightning is striking again Lightning is striking again And again and again and again Lightning is striking again And again and again and again,Lightnin' Strikes,"Lou Christie ",1966
35,1,You keep saying you got something for me Something you call love but confess You ve been a messin where you shouldn t ve been a messin And now someone else is getting all your best Well these boots are made for walking and that s just what they ll do One of these days these boots are gonna walk all over you You keep lyin when you oughta be truthin You keep losing when you oughta not bet You keep samin when you oughta be a changin What s right is right but you ain t been right yet These boots are made for walking and that s just what they ll do One of these days these boots are gonna walk all over you You keep playing where you shouldn t be playing And you keep thinking that you ll never get burnt hah Well I ve just found me a brand new box of matches yeah And what he knows you ain t have time to learn These boots are made for walking and that s just what they ll do One of these days these boots are gonna walk all over you Are you ready boots Start walkin,These Boots Are Made For Walkin',"Nancy Sinatra ",1966
36,5,Fighting soldiers from the sky fearless men who jump and die men who mean just what they say the brave men of the Green Beret Silver wings upon their chest these are men Americas best one hundred men will test today but only three win the Green Beret trained to live off natures land trained in combat hand to hand men who fight by night and day courage take from the Green Beret Choris Silver wings upon their chest these are men Americas best one hundred men will test today but only three win the Green Beret Back at home a young wife waits her Green Beret has met his fate he has died for those oppressed leaving her this last request put silver wings on my sons chest make him one of Americas best he ll be a man they ll test one day have him win the Green Beret,The Ballad Of The Green Berets,"                              SSgt Barry Sadler                          ",1966
37,3,Girl I can t let you do this Let you walk away Girl how can I live through this When you re all I wake up for each day Baby you re my soul and my inspiration You re all I ve got to get me by You re my soul and my inspiration Without you baby what good am I I never had much goin But at least I had you How can you walk out knowin I ain t got nothin left if you do Baby you re my soul and my inspiration You re all I ve got to get me by You re my soul and my inspiration Without you baby what good am I Oh what good am I Baby I can t make it withoutcha And I m tellin ya honey You re my reason for laughin For cryin for livin and for dyin Baby I can t make it without you Please I m beggin you baby If you go it will kill me I swear it girl I just can t bear it You re my soul and my inspiration You re all I ve got to get me by You re my soul and my inspiration Without you baby what good am I Oh what good am I You re my soul and my inspiration You re all I ve got all I ve got to get by Soul inspiration Oh baby I m beggin you baby,(You're My) Soul And Inspiration,"The Righteous Brothers ",1966
38,1,1 2 3 Good love Good love Good love Good love I was feeling so bad I asked my family doctor just what I had I said Dr Dr Mr M D Dr Now can you tell me what s ailing me Dr He said yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah Yes indeed all I I really need Good love Now gimme that good good lovin Good love All I need is love Good love Good good lovin baby Good love Now honey please squeeze me tight squeeze me tight Don t you want your baby to feel alright I said baby baby Now it s for sure it s for sure I got the fever yeah And you got the cure got the cure Everybody yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah Yes indeed all I I really need Good love Now come on and gimme that lovin Good love All I need is lovin Good love Good good lovin baby Good love bridge Good love Good love Good love All I need is love Good love All I want is love Good love Lovin you early in the morning now Good love Lovin you late at night now Good love Love love Good love Love love love love love,Good Lovin',"The Young Rascals ",1966
39,3,Monday Monday So good to me Monday morning It was all I hoped it would be Oh Monday morning Monday morning couldn t guarantee That Monday evening you would still Be here with me Monday Monday Can t trust that day Monday Monday Sometimes it just turns out that way Oh Monday morning you gave me no warning Of what was to be Oh Monday Monday How could you leave and not take me Every other day Every other day Every other day of the week is fine fine yeah But whenever Monday comes But whenever Monday comes You can find me crying all of the time Monday Monday So good to me Monday morning It was all I hoped it would be But Monday morning Monday morning couldn t guarantee That Monday evening you would still Be here with me Monday Monday Can t trust that day Monday Monday It just turns out that way Oh Monday Monday Won t go away Monday Monday It s here to stay Oh Monday Monday,"Monday, Monday","The Mamas & The Papas ",1966
40,2,When a man loves a woman Can t keep his mind on nothing else He ll trade the world For the good thing he s found If she s bad he can t see it She can do no wrong Turn his back on his best friend If he put her down When a man loves a woman Spend his very last dime Trying to hold on to what he needs He d give up all his comfort Sleep out in the rain If she said that s the way it ought to be Well this man loves a woman I gave you everything I had Trying to hold on to your precious love Baby please don t treat me bad When a man loves a woman Down deep in his soul She can bring him such misery If she plays him for a fool He s the last one to know Loving eyes can t ever see When a man loves a woman He can do no wrong He can never own some other girl Yes when a man loves a woman I know exactly how he feels Cause baby baby baby you re my world When a man loves a woman,When A Man Loves A Woman,"Percy Sledge ",1966
41,2,I see a red door and I want it painted black No colors anymore I want them to turn black I see the girls walk by dressed in their summer clothes I have to turn my head until my darkness goes I see a line of cars and they re all painted black With flowers and my love both never to come back I see people turn their heads and quickly look away Like a newborn baby it just happens ev ryday I look inside myself and see my heart is black I see my red door and I must have it painted black Maybe then I ll fade away and not have to face the facts It s not easy facing up when your whole world is black No more will my green sea go turn a deeper blue I could not foresee this thing happening to you If I look hard enough into the setting sun My love will laugh with me before the morning comes I see a red door and I want it painted black No colors anymore I want them to turn black I see the girls walk by dressed in their summer clothes I have to turn my head until my darkness goes I want to see your face painted black black as night black as coal I want to see the sun blotted out from the sky I want to see it painted painted painted painted black yea,"Paint It, Black","The Rolling Stones ",1966
42,1,Paperback writer paperback writer Dear Sir or Madam will you read my book It took me years to write will you take a look It s based on a novel by a man named Lear And I need a job So I want to be a paperback writer Paperback writer It s a dirty story of a dirty man And his clinging wife doesn t understand His son is working for the Daily Mail It s a steady job But he wants to be a paperback writer Paperback writer Paperback writer paperback writer It s a thousand pages give or take a few I ll be writing more in a week or two I could make it longer if you like the style I can change it round And I want to be a paperback writer Paperback writer If you really like it you can have the rights It could make a million for you overnight If you must return it you can send it here But I need a break And I want to be a paperback writer Paperback writer Paperback writer paperback writer Paperback writer paperback writer Paperback writer paperback writer Paperback writer paperback writer Paperback writer,Paperback Writer,"The Beatles ",1966
43,1,Strangers in the night exchanging glances Wondering in the night what were the chances We d be sharing love before the night was through Something in your eyes was so inviting Something in your smile was so exciting Something in my heart told me I must have you Strangers in the night two lonely people We were strangers in the night Up to the moment when we said our first hello little did we know Love was just a glance away a warm embracing dance away And ever since that night we ve been together Lovers at first sight in love forever It turned out so right for strangers in the night,Strangers In The Night,"Frank Sinatra ",1966
44,1,Paperback writer paperback writer Dear Sir or Madam will you read my book It took me years to write will you take a look It s based on a novel by a man named Lear And I need a job So I want to be a paperback writer Paperback writer It s a dirty story of a dirty man And his clinging wife doesn t understand His son is working for the Daily Mail It s a steady job But he wants to be a paperback writer Paperback writer Paperback writer paperback writer It s a thousand pages give or take a few I ll be writing more in a week or two I could make it longer if you like the style I can change it round And I want to be a paperback writer Paperback writer If you really like it you can have the rights It could make a million for you overnight If you must return it you can send it here But I need a break And I want to be a paperback writer Paperback writer Paperback writer paperback writer Paperback writer paperback writer Paperback writer paperback writer Paperback writer paperback writer Paperback writer,Paperback Writer,"The Beatles ",1966
45,2,My baby does the Hanky Panky My baby does the Hanky Panky My baby does the Hanky Panky My baby does the Hanky Panky My baby does the Hanky Panky I saw her walking on down the line You know I saw her for the very first time A pretty little girl standing all alone Hey baby can I take you home I never saw her never really saw her My baby does the Hanky Panky My baby does the Hanky Panky My baby does the Hanky Panky My baby does the Hanky Panky My baby does the Hanky Panky,Hanky Panky,"Tommy James And The Shondells ",1966
46,2,Refrain Wild thing You make my heart sing You make everything groovy Wild thing Wild thing I think I love you But I want to know for sure So come on and hold me tight I love you Refrain Wild thing I think you move me But I want to know for sure So come on and hold me tight You move me Refrain Come on come on wild thing Shake it shake it wild thing,Wild Thing,"The Troggs ",1966
47,3,Not Found,Summer In The City,"The Lovin' Spoonful ",1966
48,1,Sunshine came softly through my a window today Could ve tripped out easy a but I ve a changed my ways It ll take time I know it but in a while You re gonna be mine I know it we ll do it in style Cause I made my mind up you re going to be mine I ll tell you right now Any trick in the book now baby all that I can find Everybody s hustlin just to have a little scene When I say we ll be cool I think that you know what I mean We stood on a beach at sunset do you remember when I know a beach where baby a it never ends When you ve made your mind up forever to be mine Hmm hmm hmm hmm hmm I ll pick up your hand and slowly blow your little mind Cause I made my mind up you re going to be mine I ll tell you right now Any trick in the book now baby all that I can find Superman or Green Lantern ain t got a nothin on me I can make like a turtle and dive for your pearls in the sea yeah A you you you can just sit there a thinking on your velvet throne Bout all the rainbows a you can a have for your own When you ve made your mind up forever to be mine I ll pick up your hand and slowly blow your little mind When you ve made your mind up forever to be mine I ll pick up your hand I ll pick up your hand,Sunshine Superman,"Donovan ",1966
